	alamat	judul	
1	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Tinjau Katedral Jakarta, Panglima TNI Yakinkan Rasa Aman Beribadah	
2	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Wapres Bicara Bingkai Kerukunan untuk Menjaga Keharmonisan Bangsa Indonesia	
3	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Soal KBM Tatap Muka, Ketua DPR Minta Pemerintah Hati-hati dan Utamakan Keselamatan Siswa	
4	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Pembelajaran Tatap Muka Disarankan Tak Dijalankan Selama Pandemi	
5	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Rekam Jejak Sjamsul Nursalim yang Dapat SP3 Pertama KPK	
6	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Moeldoko Disarankan Mundur, Max Sopacua: Biarlah Pak Jokowi Menilai	
7	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Pimpinan Komisi III Tekankan Pentingnya Peran Ulama Redam Penyebaran Radikalisme	
8	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Terima Kasih Prof Yasonna dan Prof Mahfud	
9	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Satgas Covid-19 kepada Vaksinator: Jika Ada yang Tak Penuhi Syarat, Jangan Disuntik	
10	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Wapres Tekankan Moderasi Beragama untuk Cegah Ekstremisme dan Intoleransi	
11	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Ngabalin: Beri Tahu Pak SBY, Jangan Lagi Sebut-sebut KSP Moeldoko	
12	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Selain Bupati Bandung Barat dan Anaknya, Ini Deretan Bapak-Anak yang Terjerat Korupsi	
13	https://indeks.kompas.com/?site=nasional&date=2021-4-1&page=1	Setelah Serangan Teroris, Panglima TNI Perintahkan Prajuritnya Amankan Obyek Vital Nasional	
